trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,001,2019_Jun_20_1856,timer,3.0.6,60.288057804551364,
1,0,1,0,,001,2019_Jun_20_1856,timer,3.0.6,60.288057804551364,
