trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,001,2019_Jun_20_1857,timer,3.0.6,59.7806067075965,
1,0,1,0,,001,2019_Jun_20_1857,timer,3.0.6,59.7806067075965,
2,0,2,0,,001,2019_Jun_20_1857,timer,3.0.6,59.7806067075965,
3,0,3,0,,001,2019_Jun_20_1857,timer,3.0.6,59.7806067075965,
4,0,4,0,,001,2019_Jun_20_1857,timer,3.0.6,59.7806067075965,
